Ok?,Discord Name (Example#9999) / Twitter Name (@Example1234),Nickname,Country,pfp,(Optional) Illustration Submission - .png or .psd files preferred,Original_Message,Translation
,Bonescaffolding#2005,"""Evan"" is fine",United States of America,1V_g1ezvP0egwJFqynrpY7e-nxNimNemk.png,,ハードルはとても高いですが、それに負けずに頑張っていますね。あなたの仕事はとてもかっこいいと思いますし、あなたの自信と忍耐力がうらやましいです。これからも全力で応援しています。,
,雪風ときみ#8459 / @tokimi_yukikaze,雪風ときみ,Japan,17qgiceLWUsi_MS5S4M1ECgrKu15Mdx_n.png,,"ポルカ、ねねち、ししろん、ラミィちゃん
デビュー1周年おめでとう！

この1年、本当にいろんなことがあったけど、みんなのおかげで楽しく元気に日々を送れています
ねぽらぼのコラボとかもほんとに毎回お腹抱えて爆笑しながら楽しんでます

なかなか思い通りにならなかったり、上手くいかないこととかもたくさんあって楽しいことばっかりってわけにはいかないかもしれない
それでも未来へ向かって進んでいくみんなは本当に素敵で、いつもキラキラ輝いてる
そんな貴女たちだから、ここまで道が続いてきたのかな、って

5期生みんなの未来が、今よりもっともっと輝かしいものになりますように✨

やっぱ、ほろふぁいぶしか勝たん！",
,Vanilla Thunder #1011,Vanilla Thunder,United States of America,1SzWzz7-CNprHu6AKjrontov4GfUWRoV0.png,,五期生のみなさん、デビュー1周年おめでとうございます！この一年間はみなさんのおかげで、楽しい思い出はたくさんありました。これからもずっと応援しています！,
yes,SSRBSukoya#3856/@moarjtri,jjtri,,1ty6I5Q55dTp6buJpL6Dg3V7R_p5rAjea.png,artbook/thumbs_small/jjtri_tee_.jpg,"Happy 1st anniversary! And hope for many many more!
Thank you for keeping us company through this rough year and making us smile.
Keep working hard! Holofive will have my love and support always :D",一周年おめでとう！これからもお楽しみ！この一年間、私たちと付き合って、笑顔をくれて、ありがとうございます！頑張って！ホロファイブはいつも私の愛と応援を持っています！
yes,tastelikenyan#1687 / @tastelikecoke,tastelikecoke,Philippines,1q-gzSbNRTHQacjnYATshCZe0FexVCUv7.png,artbook/thumbs_small/Jeru_Mercado_.png,ホロライブ５期生いつも応援しています！！ Thanks for all the fun streams hololive 5th generation! I will always support you guys \o/,ホロライブ５期生いつも応援しています！いつも楽しい配信してくれてありがとう！いつも応援しています！
yes,Kotoji#8807/@KotojiEnvoy,コトジ幸時,Malaysia,1MPqrki6G3rK_MO_8aJkLVuMFI3EV2rNG.png,artbook/thumbs_small/Kotoji_Chang_.png,"Happy 1 year anniversary to NePoLaBo, you guys have come a long way in this one year, keep up the great job as an Idol and most importantly, keep work hard on your passions, and thank you for being in Hololive and I will always support you all.",ねぽらぼ一周年おめでとう！この一年間、５期生のみんな成長しましたね。アイドルとして頑張ってください。それより、自分の趣味を楽しんでください。ホロライブに参加してくれありがとうございます！いつも応援しています！
,獅子紅燒鰻#9750 / @WestLee_Ar,WEST,Taiwan,129B3VimFPcWbjaJlLUaf7FncrZ8Ny3-D.png,artbook/thumbs_small/West_Lee_.png,這樣說也許誇張了，但努力著的五期生的各位確實拯救了我。我是海外觀眾，今後也會一直持續關注著的，恭喜出道一周年!,大げさに聞こえるかもしれませんが、頑張ている五期生の皆さんは確かに私を救ってくれました。海外視聴者として、これからもずっと関心を寄せています、デビュー一周年おめでとうございます！
yes,Pericuinkle#5473 / @little_roseus,Pericuinkle,Taiwan,1ioyhFdIISUp9nKjQOPTq1UtNp8crPdbS.png,artbook/thumbs_small/Pericuinkle_.png,Happy 1st anniversary !!,一周年おめでとうございます！
,Lkes#2239,Lkes,Colombia,1WUxS8McgC6Y_ohmMG3sD7KIL1lvRqDIL.png,artbook/thumbs_small/Lkes_.png,"Con cariño para las mejores idols de hololive, mi apoyo incondicional hasta el final y gracias por todo su esfuerzo.",ホロライブの最高アイドルに愛をこめて、私はずっと応援します！頑張ってくれてありがとう！
yes,Misamisatoto#9332,Misa,Philippines,1P_1slr9JifU-OTMu0jMh27YACLbuSjYE.png,artbook/thumbs_small/Misato_Wakatsuki_.jpg,"I'm bad with words.. and my words aren't enough to express it well..But after years of treating art as a job and a pain in the ass chore, I can finally say that I am genuinely having fun drawing again and It's all because of you guys. Thank you so much for everything. Thank you for saving me.",私は言葉苦手なんだけど。。。上手く伝えられないと思うけど。。。何年間絵描きが面倒くさい仕事にしたが、あなた達のお陰で今は絵描きが本当に楽しめる。助けてくれて本当にありがとうございます。
q,Say Oh You#4990,Sayohyou,Mexico,1t_AJY1O8y6lPVh_UXP8NQH0EVMwh9TqY.png,artbook/thumbs_small/Abigail_Casanova_.jpg,"I wasn't a fan of Hololive when the 5th gen debuted, but after watching the 5th gen I knew that I would keep being a hololive fan, it had been 6 months since I know about hololive, and being a fan, specifically a 5th gen fan, makes my days brighter. Thank you, for giving me so much happy moments",五期生がデビューした時ホロライブのファンじゃなかったけど、五期生を見るとファンになってずっとホロライブのファンでいようと思いました.　ホロライブを知ってもう六ヶ月で、ファンでいて、特に五期生のファンでいてだけで毎日が明るくなります。たくさん幸せの時間ありがとうございます。
q,Raze Yukihana#9440 / Raze雪花(@RazeYukihana),Raze雪花,Singapore,1MZrVm_eTbyiysJKPHCni2XFCM3mUIpc8.png,artbook/thumbs_small/Raze_Yukihana_.png,"Happy 1st Anniversary NePoLaBo! It's already been a year. Fun times goes by so quickly like a blink of an eye. I am very thankful for all the fun and memorable content that all of you have shown me! I wish NePoLaBo will stay forever!

I love everyone in 5th Generation!
ヽ(*⌒∇⌒*)ﾉ","ねぽらぼ一周年おめでとう！もう一年だったね。楽しい時間は本当にあっという間に経つね。見せてくれたたくさんの楽しくて思い出に残るコンテンツ
にはとても感謝です！ねぽらぼがずっと一緒に居れることを願ってます！　五期生の皆大好きです！ヽ(*⌒∇⌒*)ﾉ"
